ticker,yahoo_ticker,name
PYCR,PYCR,PAYCOR HCM INC
DCT,DCT,DUCK CREEK TECH INC
AI,AI,C3 AI INC CLASS A
ALGM,ALGM,ALLEGRO MICROSYSTEMS INC
MSP,MSP,DATTO HOLDING CORP
TWKS,TWKS,THOUGHTWORKS HOLDING INC
SKLZ,SKLZ,SKILLZ INC CLASS A
INFA,INFA,INFORMATICA INC CLASS A
NABL,NABL,N ABLE INC
SWI,SWI,SOLARWINDS CORP
VRM,VRM,VROOM INC
