fund,fund_ticker,yahoo_ticker,name
MOON,NVTA,NVTA,INVITAE CORP USD 0.0001
MOON,OKTA,OKTA,Okta Inc
MOON,ONDS,ONDS,ONDAS HOLDINGS INC
MOON,OUST,OUST,OUSTER INC
MOON,PATH,PATH,UiPath Inc
MOON,PEAR,PEAR,PEAR THERAPEUTICS INC
MOON,PL,PL,Planet Labs PBC
MOON,RBLX,RBLX,ROBLOX Corp
MOON,RNA,RNA,AVIDITY BIOSCIENCES INC
MOON,ROIV,ROIV,ROIVANT SCIENCES LTD
MOON,S,S,SentinelOne Inc
MOON,SPCE,SPCE,VIRGIN GALACTIC HOLDINGS INC
MOON,SQSP,SQSP,Squarespace Inc
MOON,STRC,STRC,Sarcos Technology and Robotics Corp
MOON,TSP,TSP,TUSIMPLE HOLDINGS INC - A
MOON,U,U,Unity Software Inc
MOON,VLDR,VLDR,VELODYNE LIDAR INC
MOON,VMEO,VMEO,Vimeo Inc
MOON,VUZI,VUZI,Vuzix Corp
MOON,XOS,XOS,XOS INC
MOON,YELP,YELP,YELP INC USD 0.000001
TECL,AAPL,AAPL,APPLE INC
TECL,ACN,ACN,ACCENTURE PLC-CL A
TECL,ADBE,ADBE,ADOBE INC
TECL,ADI,ADI,ANALOG DEVICES INC
TECL,ADP,ADP,AUTOMATIC DATA PROCESSING
TECL,ADSK,ADSK,AUTODESK INC
TECL,AKAM,AKAM,AKAMAI TECHNOLOGIES INC
TECL,AMAT,AMAT,APPLIED MATERIALS INC
TECL,AMD,AMD,ADVANCED MICRO DEVICES
TECL,ANET,ANET,ARISTA NETWORKS INC
TECL,ANSS,ANSS,ANSYS INC
TECL,APH,APH,AMPHENOL CORP-CL A
TECL,AVGO,AVGO,BROADCOM INC
TECL,BR,BR,BROADRIDGE FINANCIAL SOLUTIO
TECL,CDAY,CDAY,CERIDIAN HCM HOLDING INC
TECL,CDNS,CDNS,CADENCE DESIGN SYS INC
TECL,CDW,CDW,CDW CORP/DE
TECL,CRM,CRM,SALESFORCE INC
TECL,CSCO,CSCO,CISCO SYSTEMS INC
TECL,CTSH,CTSH,COGNIZANT TECH SOLUTIONS-A
TECL,CTXS,CTXS,CITRIX SYSTEMS INC
TECL,DXC,DXC,DXC TECHNOLOGY CO
TECL,ENPH,ENPH,ENPHASE ENERGY INC
TECL,EPAM,EPAM,EPAM SYSTEMS INC
TECL,FFIV,FFIV,F5 INC
TECL,FIS,FIS,FIDELITY NATIONAL INFO SERV
TECL,FISV,FISV,FISERV INC
TECL,FLT,FLT,FLEETCOR TECHNOLOGIES INC
TECL,FTNT,FTNT,FORTINET INC
TECL,GLW,GLW,CORNING INC
TECL,GPN,GPN,GLOBAL PAYMENTS INC
TECL,HPE,HPE,HEWLETT PACKARD ENTERPRISE
TECL,HPQ,HPQ,HP INC
TECL,IBM,IBM,INTL BUSINESS MACHINES CORP
TECL,INTC,INTC,INTEL CORP
TECL,INTU,INTU,INTUIT INC
TECL,IPGP,IPGP,IPG PHOTONICS CORP
TECL,IT,IT,GARTNER INC
TECL,JKHY,JKHY,JACK HENRY & ASSOCIATES INC
TECL,JNPR,JNPR,JUNIPER NETWORKS INC
TECL,KEYS,KEYS,KEYSIGHT TECHNOLOGIES IN
TECL,KLAC,KLAC,KLA CORP
TECL,LRCX,LRCX,LAM RESEARCH CORP
TECL,MA,MA,MASTERCARD INC - A
TECL,MCHP,MCHP,MICROCHIP TECHNOLOGY INC
TECL,MPWR,MPWR,MONOLITHIC POWER SYSTEMS INC
TECL,MSFT,MSFT,MICROSOFT CORP
TECL,MSI,MSI,MOTOROLA SOLUTIONS INC
TECL,MU,MU,MICRON TECHNOLOGY INC
TECL,NLOK,NLOK,NORTONLIFELOCK INC
TECL,NOW,NOW,SERVICENOW INC
TECL,NTAP,NTAP,NETAPP INC
TECL,NVDA,NVDA,NVIDIA CORP
TECL,NXPI,NXPI,NXP SEMICONDUCTORS NV
TECL,ON,ON,ON SEMICONDUCTOR
TECL,ORCL,ORCL,ORACLE CORP
TECL,PAYC,PAYC,PAYCOM SOFTWARE INC
TECL,PAYX,PAYX,PAYCHEX INC
TECL,PTC,PTC,PTC INC
TECL,PYPL,PYPL,PAYPAL HOLDINGS INC
TECL,QCOM,QCOM,QUALCOMM INC
TECL,QRVO,QRVO,QORVO INC
TECL,ROP,ROP,ROPER TECHNOLOGIES INC
TECL,SEDG,SEDG,SOLAREDGE TECHNOLOGIES INC
TECL,SNPS,SNPS,SYNOPSYS INC
TECL,STX,STX,SEAGATE TECHNOLOGY HOLDINGS
TECL,SWKS,SWKS,SKYWORKS SOLUTIONS INC
TECL,TDY,TDY,TELEDYNE TECHNOLOGIES INC
TECL,TEL,TEL,TE CONNECTIVITY LTD
TECL,TER,TER,TERADYNE INC
TECL,TRMB,TRMB,TRIMBLE INC
TECL,TXN,TXN,TEXAS INSTRUMENTS INC
TECL,TYL,TYL,TYLER TECHNOLOGIES INC
TECL,V,V,VISA INC-CLASS A SHARES
TECL,VRSN,VRSN,VERISIGN INC
TECL,WDC,WDC,WESTERN DIGITAL CORP
TECL,ZBRA,ZBRA,ZEBRA TECHNOLOGIES CORP-CL A
GTEK,002439,002439.SZ,Venustech Group Inc
GTEK,002475,002475.SZ,Luxshare Precision Industry Co Ltd
GTEK,035420,035420.KS,NAVER Corp
GTEK,1024,1024.HK,Kuaishou Technology
GTEK,2013,2013.HK,Weimob Inc
GTEK,2303,2303.TW,United Microelectronics Corp
GTEK,2308,2308.TW,Delta Electronics Inc
GTEK,2454,2454.T,MediaTek Inc
GTEK,268,0268.HK,Kingdee International Software Group Co Ltd
GTEK,300454,300454.SZ,Sangfor Technologies Inc
GTEK,3037,3037.TW,Unimicron Technology Corp
GTEK,5269,5269.TW,ASMedia Technology Inc
GTEK,5347,5347.TWO,Vanguard International Semiconductor Corp
GTEK,6415,6415.TW,Silergy Corp
GTEK,6594,6594.T,Nidec Corp
GTEK,6965,6965.T,Hamamatsu Photonics KK
GTEK,7741,7741.T,Hoya Corp
GTEK,8035,TOELY,Tokyo Electron Ltd
GTEK,9888,BIDU,Baidu Inc
GTEK,9999,9999.HK,NetEase Inc
GTEK,ADYEN,ADYEN.AS,Adyen NV
GTEK,APP,APP,AppLovin Corp
GTEK,AZPN,AZPN,Aspen Technology Inc
GTEK,BILL,BILL,Bill.com Holdings Inc
GTEK,CDNS,CDNS,Cadence Design Systems Inc
GTEK,CLNX,CLNX.MC,Cellnex Telecom SA
GTEK,CTSH,CTSH,Cognizant Technology Solutions Corp
GTEK,DDOG,DDOG,Datadog Inc
GTEK,DLO,DLO,Dlocal Ltd/Uruguay
GTEK,DT,DT,Dynatrace Inc
GTEK,EA,EA,Electronic Arts Inc
GTEK,ENTG,ENTG,Entegris Inc
GTEK,ETSY,ETSY,Etsy Inc
GTEK,FIS,FIS,Fidelity National Information Services Inc
GTEK,HUBS,HUBS,HubSpot Inc
GTEK,IFX,IFX.DE,Infineon Technologies AG
GTEK,KEYS,KEYS,Keysight Technologies Inc
GTEK,KLAC,KLAC,KLA Corp
GTEK,MELI,MELI,MercadoLibre Inc
GTEK,MKSI,MKSI,MKS Instruments Inc
GTEK,MRVL,MRVL,Marvell Technology Inc
GTEK,MSI,MSI,Motorola Solutions Inc
GTEK,MTCH,MTCH,Match Group Inc
GTEK,NXPI,NXPI,NXP Semiconductors NV
GTEK,OKTA,OKTA,Okta Inc
GTEK,ON,ON,ON Semiconductor Corp
GTEK,PANW,PANW,Palo Alto Networks Inc
GTEK,PATH,PATH,UiPath Inc
GTEK,PCOR,PCOR,Procore Technologies Inc
GTEK,RNG,RNG,RingCentral Inc
GTEK,SBAC,SBAC,SBA Communications Corp
GTEK,SE,SE,Sea Ltd
GTEK,SNAP,SNAP,Snap Inc
GTEK,SNOW,SNOW,Snowflake Inc
GTEK,TEAM,TEAM,Atlassian Corp PLC
GTEK,TEAMN,TEAM,Atlassian Corp PLC
GTEK,VIAV,VIAV,Viavi Solutions Inc
GTEK,WDAY,WDAY,Workday Inc
GTEK,WOLF,WOLF,Wolfspeed Inc
GTEK,XM,XM,Qualtrics International Inc
GTEK,YNDX,YNDX,Yandex NV
GSLC,A,A,Agilent Technologies Inc
GSLC,AA,AA,Alcoa Corp
GSLC,AAP,AAP,Advance Auto Parts Inc
GSLC,AAPL,AAPL,Apple Inc
